RLVL,Difficulty,Quality,ProgressDivider,QualityDivider,ProgressModifier,QualityModifier,Durability
200,830,3160,70,50,80,70,70
201,835,3174,70,50,80,70,70
202,840,3188,70,50,80,70,70
203,845,3202,70,50,80,70,70
204,850,3216,70,50,80,70,70
205,855,3230,70,50,80,70,70
206,860,3244,70,50,80,70,70
207,865,3258,70,50,80,70,70
208,870,3272,70,50,80,70,70
209,875,3286,70,50,80,70,70
210,880,3300,70,50,80,70,70
211,882,3309,70,50,80,70,70
212,884,3318,70,50,80,70,70
213,886,3327,70,50,80,70,70
214,888,3336,70,50,80,70,70
215,890,3345,70,50,80,70,70
216,892,3354,70,50,80,70,70
217,894,3363,70,50,80,70,70
218,896,3372,70,50,80,70,70
219,898,3381,70,50,80,70,70
220,900,3390,70,50,80,70,70
221,903,3403,70,50,80,70,70
222,906,3416,70,50,80,70,70
223,909,3429,70,50,80,70,70
224,912,3442,70,50,80,70,70
225,915,3455,70,50,80,70,70
226,918,3468,70,50,80,70,70
227,921,3481,70,50,80,70,70
228,924,3494,70,50,80,70,70
229,927,3507,70,50,80,70,70
230,930,3520,70,50,80,70,70
231,933,3534,70,50,80,70,70
232,936,3548,70,50,80,70,70
233,939,3562,70,50,80,70,70
234,942,3576,70,50,80,70,70
235,945,3590,70,50,80,70,70
236,948,3604,70,50,80,70,70
237,951,3618,70,50,80,70,70
238,954,3632,70,50,80,70,70
239,957,3646,70,50,80,70,70
240,960,3660,70,50,80,70,70
241,964,3674,70,50,80,70,70
242,968,3688,70,50,80,70,70
243,972,3702,70,50,80,70,70
244,976,3716,70,50,80,70,70
245,980,3730,70,50,80,70,70
246,984,3744,70,50,80,70,70
247,988,3758,70,50,80,70,70
248,992,3772,70,50,80,70,70
249,996,3786,70,50,80,70,70
250,1000,3800,70,50,80,70,70
251,1000,3800,70,50,80,70,80
252,1000,3800,70,50,80,70,80
253,1000,3800,70,50,80,70,80
254,1000,3800,70,50,80,70,80
255,630,2790,81,58,100,100,80
256,635,2799,81,58,100,100,80
257,640,2808,81,58,100,100,80
258,645,2817,81,58,100,100,80
259,650,2826,81,58,100,100,80
260,655,2835,81,58,100,100,80
261,660,2844,81,58,100,100,80
262,665,2853,81,58,100,100,80
263,670,2862,81,58,100,100,80
264,675,2871,81,58,100,100,80
265,680,2880,82,61,100,100,80
266,690,2898,82,61,100,100,80
267,700,2916,82,61,100,100,80
268,710,2934,82,61,100,100,80
269,720,2952,82,61,100,100,80
270,730,2970,83,64,100,100,80
271,746,3000,83,64,100,100,80
272,763,3030,83,64,100,100,80
273,780,3060,84,65,100,100,80
274,796,3090,84,65,100,100,80
275,813,3120,84,65,100,100,80
276,830,3150,85,66,100,100,80
277,846,3180,85,66,100,100,80
278,863,3210,85,66,100,100,80
279,880,3240,86,66,100,100,80
280,896,3270,86,66,100,100,80
281,913,3300,86,66,100,100,80
282,930,3330,87,68,100,100,80
283,946,3360,87,68,100,100,80
284,963,3390,87,68,100,100,80
285,980,3420,88,68,100,100,80
286,996,3450,88,68,100,100,80
287,1013,3480,88,68,100,100,80
288,1030,3510,89,68,100,100,80
289,1055,3555,89,68,100,100,80
290,1080,3600,90,70,100,100,80
291,1086,3660,90,70,100,100,80
292,1092,3720,90,70,100,100,80
293,1098,3780,90,70,100,100,80
294,1104,3840,90,70,100,100,80
295,1110,3900,90,70,100,100,80
296,1116,3960,90,70,100,100,80
297,1122,4020,90,70,100,100,80
298,1128,4080,90,70,100,100,80
299,1134,4140,90,70,100,100,80
300,1140,4200,90,70,100,100,70
301,1143,4230,90,70,100,100,70
302,1146,4260,90,70,100,100,70
303,1149,4290,90,70,100,100,70
304,1152,4320,90,70,100,100,70
305,1155,4350,90,70,100,100,70
306,1158,4380,90,70,100,100,70
307,1161,4410,90,70,100,100,70
308,1164,4440,90,70,100,100,70
309,1167,4470,90,70,100,100,70
310,1170,4500,90,70,100,100,70
311,1173,4530,90,70,100,100,70
312,1176,4560,90,70,100,100,70
313,1179,4590,90,70,100,100,70
314,1182,4620,90,70,100,100,70
315,1185,4650,90,70,100,100,70
316,1188,4680,90,70,100,100,70
317,1191,4710,90,70,100,100,70
318,1194,4740,90,70,100,100,70
319,1197,4770,90,70,100,100,70
320,1200,4800,90,70,80,70,70
321,1205,4813,90,70,80,70,70
322,1210,4826,90,70,80,70,70
323,1215,4839,90,70,80,70,70
324,1220,4852,90,70,80,70,70
325,1225,4865,90,70,80,70,70
326,1230,4878,90,70,80,70,70
327,1235,4891,90,70,80,70,70
328,1240,4904,90,70,80,70,70
329,1245,4917,90,70,80,70,70
330,1250,4930,90,70,80,70,70
331,1255,4943,90,70,80,70,70
332,1260,4956,90,70,80,70,70
333,1265,4969,90,70,80,70,70
334,1270,4982,90,70,80,70,70
335,1275,4995,90,70,80,70,70
336,1280,5008,90,70,80,70,70
337,1285,5021,90,70,80,70,70
338,1290,5034,90,70,80,70,70
339,1295,5047,90,70,80,70,70
340,1300,5060,90,70,80,70,70
341,1305,5074,90,70,80,70,70
342,1310,5088,90,70,80,70,70
343,1315,5102,90,70,80,70,70
344,1320,5116,90,70,80,70,70
345,1325,5130,90,70,80,70,70
346,1330,5144,90,70,80,70,70
347,1335,5158,90,70,80,70,70
348,1340,5172,90,70,80,70,70
349,1345,5186,90,70,80,70,70
350,1350,5200,90,70,80,70,70
351,1355,5230,90,70,80,70,70
352,1360,5260,90,70,80,70,70
353,1365,5290,90,70,80,70,70
354,1370,5320,90,70,80,70,70
355,1375,5350,90,70,80,70,70
356,1380,5380,90,70,80,70,70
357,1385,5410,90,70,80,70,70
358,1390,5440,90,70,80,70,70
359,1395,5470,90,70,80,70,70
360,1400,5500,90,70,80,70,70
361,1405,5530,90,70,80,70,70
362,1410,5560,90,70,80,70,70
363,1415,5590,90,70,80,70,70
364,1420,5620,90,70,80,70,70
365,1425,5650,90,70,80,70,70
366,1430,5680,90,70,80,70,70
367,1435,5710,90,70,80,70,70
368,1440,5740,90,70,80,70,70
369,1445,5770,90,70,80,70,70
370,1450,5800,90,70,80,70,70
371,1455,5830,90,70,80,70,70
372,1460,5860,90,70,80,70,70
373,1465,5890,90,70,80,70,70
374,1470,5920,90,70,80,70,70
375,1475,5950,90,70,80,70,70
376,1480,5980,90,70,80,70,70
377,1485,6010,90,70,80,70,70
378,1490,6040,90,70,80,70,70
379,1495,6070,90,70,80,70,70
380,1500,6100,90,70,80,70,70
381,1150,3700,101,81,100,100,80
382,1155,3707,101,81,100,100,80
383,1160,3714,101,81,100,100,80
384,1165,3721,101,81,100,100,80
385,1170,3728,101,81,100,100,80
386,1175,3735,101,81,100,100,80
387,1180,3742,101,81,100,100,80
388,1185,3749,101,81,100,100,80
389,1190,3756,101,81,100,100,80
390,1195,3763,101,81,100,100,80
391,1200,3770,101,81,100,100,80
392,1205,3777,101,81,100,100,80
393,1210,3784,101,81,100,100,80
394,1215,3792,101,81,100,100,80
395,1220,3800,102,82,100,100,80
396,1234,3820,102,82,100,100,80
397,1248,3840,102,82,100,100,80
398,1262,3860,102,82,100,100,80
399,1276,3880,102,82,100,100,80
400,1290,3900,103,83,100,100,80
401,1313,3933,103,83,100,100,80
402,1336,3966,103,83,100,100,80
403,1360,4000,104,84,100,100,80
404,1383,4033,104,84,100,100,80
405,1406,4066,104,84,100,100,80
406,1430,4100,105,85,100,100,80
407,1453,4133,105,85,100,100,80
408,1476,4166,105,85,100,100,80
409,1500,4200,106,86,100,100,80
410,1523,4233,106,86,100,100,80
411,1546,4266,106,86,100,100,80
412,1570,4300,107,87,100,100,80
413,1593,4333,107,87,100,100,80
414,1616,4366,107,87,100,100,80
415,1640,4400,108,88,100,100,80
416,1663,4433,108,88,100,100,80
417,1686,4466,108,88,100,100,80
418,1710,4500,109,89,100,100,80
419,1715,4508,109,89,100,100,80
420,1720,4516,109,89,100,100,80
421,1726,4524,109,89,100,100,80
422,1732,4532,109,89,100,100,80
423,1738,4540,109,89,100,100,80
424,1744,4548,109,89,100,100,80
425,1750,4556,109,89,100,100,80
426,1756,4564,109,89,100,100,80
427,1762,4573,109,89,100,100,80
428,1768,4582,109,89,100,100,80
429,1774,4591,109,89,100,100,80
430,1780,4600,110,90,100,100,80
431,1792,4614,110,90,100,100,70
432,1804,4628,110,90,100,100,70
433,1816,4642,110,90,100,100,70
434,1828,4656,110,90,100,100,70
435,1840,4670,110,90,100,100,70
436,1852,4684,110,90,100,100,70
437,1864,4698,110,90,100,100,70
438,1876,4712,110,90,100,100,70
439,1888,4726,110,90,100,100,70
440,1900,6000,110,90,100,100,70
441,1915,6190,110,90,100,100,70
442,1930,6380,110,90,100,100,70
443,1945,6570,110,90,100,100,70
444,1960,6760,110,90,100,100,70
445,1975,6950,110,90,100,100,70
446,1990,7140,110,90,100,100,70
447,2005,7330,110,90,100,100,70
448,2020,7520,110,90,100,100,70
449,2035,7710,110,90,100,100,70
450,2050,7900,110,90,80,70,70
451,2075,7920,110,90,80,70,70
452,2100,7940,110,90,80,70,70
453,2125,7960,110,90,80,70,70
454,2150,7980,110,90,80,70,70
455,2175,8000,110,90,80,70,70
456,2200,8020,110,90,80,70,70
457,2225,8040,110,90,80,70,70
458,2250,8060,110,90,80,70,70
459,2275,8080,110,90,80,70,70
460,2300,8100,110,90,80,70,70
461,2325,8120,110,90,80,70,70
462,2350,8140,110,90,80,70,70
463,2375,8160,110,90,80,70,70
464,2400,8180,110,90,80,70,70
465,2425,8200,110,90,80,70,70
466,2450,8220,110,90,80,70,70
467,2475,8240,110,90,80,70,70
468,2500,8260,110,90,80,70,70
469,2525,8280,110,90,80,70,70
470,2550,8300,110,90,80,70,70
471,2575,8320,140,90,100,100,70
472,2600,8340,110,90,80,70,70
473,2625,8360,110,90,80,70,70
474,2650,8380,110,90,80,70,70
475,2675,8400,110,90,80,70,70
476,2700,8420,110,90,80,70,70
477,2725,8440,110,90,80,70,70
478,2750,8460,110,90,80,70,70
479,2775,8480,110,90,80,70,70
480,2800,8500,110,90,80,70,70
481,3856,12323,140,130,100,100,70
482,2852,8566,110,90,80,70,70
483,2878,8599,110,90,80,70,70
484,2904,8632,110,90,80,70,70
485,2930,8665,110,90,80,70,70
486,2956,8698,110,90,80,70,70
487,2982,8731,110,90,80,70,70
488,3008,8764,110,90,80,70,70
489,3034,8797,110,90,80,70,70
490,3060,8830,110,90,80,70,70
491,3087,8863,110,90,80,70,70
492,3114,8896,110,90,80,70,70
493,3141,8929,110,90,80,70,70
494,3168,8962,110,90,80,70,70
495,3195,8995,110,90,80,70,70
496,3222,9028,110,90,80,70,70
497,3249,9061,110,90,80,70,70
498,3276,9094,110,90,80,70,70
499,3303,9127,110,90,80,70,70
500,3330,9160,110,90,80,70,70
501,3357,9194,110,90,80,70,70
502,3384,9228,110,90,80,70,70
503,3411,9262,110,90,80,70,70
504,3438,9296,110,90,80,70,70
505,3465,9330,110,90,80,70,70
506,3492,9364,110,90,80,70,70
507,3519,9398,110,90,80,70,70
508,3546,9432,110,90,80,70,70
509,3573,9466,110,90,80,70,70
510,3600,9500,110,90,80,70,70
511,4672,15656,140,130,100,100,70
512,4220,14618,140,130,100,100,70
513,5059,15474,140,130,100,100,70
514,5077,14321,140,130,100,100,70
515,5095,14854,140,130,100,100,70
516,5470,16156,140,130,100,100,70
517,2000,5200,121,105,100,100,80
518,2100,5300,121,105,100,100,80
519,2200,5500,121,105,100,100,80
520,2300,5700,122,106,100,100,80
521,2350,5800,122,106,100,100,80
522,2400,5900,122,106,100,100,80
523,2450,6000,122,106,100,100,80
524,2500,6100,122,106,100,100,80
525,2600,6200,123,107,100,100,80
526,2660,6280,123,107,100,100,80
527,2720,6360,123,107,100,100,80
528,2780,6440,123,107,100,100,80
529,2840,6520,123,107,100,100,80
530,2900,6600,124,108,100,100,80
531,2920,6620,124,108,100,100,80
532,2940,6640,124,108,100,100,80
533,2960,6660,124,108,100,100,80
534,2980,6680,124,108,100,100,80
535,3000,6700,125,109,100,100,80
536,3020,6720,125,109,100,100,80
537,3040,6740,125,109,100,100,80
538,3060,6760,125,109,100,100,80
539,3080,6780,125,109,100,100,80
540,3100,6800,126,110,100,100,80
541,3120,6820,126,110,100,100,80
542,3140,6840,126,110,100,100,80
543,3160,6860,126,110,100,100,80
544,3180,6880,126,110,100,100,80
545,3200,6900,127,111,100,100,80
546,3220,6920,127,111,100,100,80
547,3240,6940,127,111,100,100,80
548,3260,6960,127,111,100,100,80
549,3280,6980,127,111,100,100,80
550,3300,7000,128,112,100,100,80
551,3320,7020,128,112,100,100,80
552,3340,7040,128,112,100,100,80
553,3360,7060,128,112,100,100,80
554,3380,7080,128,112,100,100,80
555,3400,7100,129,113,100,100,80
556,3420,7120,129,113,100,100,80
557,3440,7140,129,113,100,100,80
558,3460,7160,129,113,100,100,80
559,3480,7180,129,113,100,100,80
560,3500,7200,130,115,90,80,80
561,3520,7220,130,115,90,80,80
562,3540,7240,130,115,90,80,80
563,3560,7260,130,115,90,80,80
564,3580,7280,130,115,90,80,80
565,3600,7300,130,115,90,80,80
566,3620,7320,130,115,90,80,80
567,3640,7340,130,115,90,80,80
568,3660,7360,130,115,90,80,80
569,3680,7380,130,115,90,80,80
570,3700,7400,130,115,90,80,80
571,3720,7440,130,115,90,80,80
572,3740,7480,130,115,90,80,80
573,3760,7520,130,115,90,80,80
574,3780,7560,130,115,90,80,80
575,3800,7600,130,115,90,80,80
576,3820,7640,130,115,90,80,80
577,3840,7680,130,115,90,80,80
578,3860,7720,130,115,90,80,80
579,3880,7760,130,115,90,80,80
580,3900,7800,130,115,80,70,70
581,3940,7820,130,115,80,70,70
582,3980,7840,130,115,80,70,70
583,4020,7860,130,115,80,70,70
584,4060,7880,130,115,80,70,70
585,4100,7900,130,115,80,70,70
586,4140,7920,130,115,80,70,70
587,4180,7940,130,115,80,70,70
588,4220,7960,130,115,80,70,70
589,4260,7980,130,115,80,70,70
590,4300,8000,130,115,80,70,70
591,4400,8010,130,115,80,70,70
592,4400,8020,130,115,80,70,70
593,4400,8030,130,115,80,70,70
594,4400,8040,130,115,80,70,70
595,4400,8050,130,115,80,70,70
596,4400,8060,130,115,80,70,70
597,4400,8070,130,115,80,70,70
598,4400,8080,130,115,80,70,70
599,4400,8090,130,115,80,70,70
600,4400,8100,130,115,80,70,70
601,4400,8110,130,115,80,70,70
602,4400,8120,130,115,80,70,70
603,4400,8130,130,115,80,70,70
604,4400,8140,130,115,80,70,70
605,4400,8150,130,115,80,70,70
606,4400,8160,130,115,80,70,70
607,4400,8170,130,115,80,70,70
608,4400,8180,130,115,80,70,70
609,4400,8190,130,115,80,70,70
610,4400,8200,130,115,80,70,70
611,7480,13620,180,180,100,100,70
612,4400,8440,130,115,80,70,70
613,4400,8460,130,115,80,70,70
614,4400,8480,130,115,80,70,70
615,4400,8500,130,115,80,70,70
616,4400,8520,130,115,80,70,70
617,4400,8540,130,115,80,70,70
618,4400,8560,130,115,80,70,70
619,4400,8580,130,115,80,70,70
620,4400,8600,130,115,80,70,70
621,4400,8620,180,180,100,100,60
622,4400,8640,130,115,80,70,70
623,4400,8660,130,115,80,70,70
624,4400,8680,130,115,80,70,70
625,4400,8700,130,115,80,70,70
626,4400,8720,130,115,80,70,70
627,4400,8740,130,115,80,70,70
628,4400,8760,130,115,80,70,70
629,4400,8780,130,115,80,70,70
630,4400,8800,130,115,80,70,70
631,4400,8820,130,115,80,70,70
632,4400,8840,130,115,80,70,70
633,4400,8860,130,115,80,70,70
634,4400,8880,130,115,80,70,70
635,4400,8900,130,115,80,70,70
636,4400,8920,130,115,80,70,70
637,4400,8940,130,115,80,70,70
638,4400,8960,130,115,80,70,70
639,4400,8980,130,115,80,70,70
640,4400,9000,130,115,80,70,70
641,4400,9020,180,180,100,100,60
642,4400,9040,180,180,100,100,70
643,4400,9060,180,180,100,100,70
644,4400,9080,180,180,100,100,70
645,4400,9100,130,115,80,70,70
646,4400,9120,130,115,80,70,70
647,4400,9140,130,115,80,70,70
648,4400,9160,130,115,80,70,70
649,4400,9180,130,115,80,70,70
650,4400,9200,130,115,80,70,70
